speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
64.8892526231018,31.3975858169484,471.582000000017,10.5621315413236,-6.45808690514383,1,4,3388.26945817106,168.058652709145,79.9656311594733,47.1907287148366,122.695894658575,90.1384212190505,0,47.0415512153361,30.7601869587366,1,69.1609136020627,1.2,1.2,-129.569747608629,5.43764681228059,0.221536400591654,303.951785222739,-31.7656923619119,0,2833.23072871484,
64.6133433633121,31.4095043809868,471.795000000017,10.5626071187763,-6.44964655626798,1,4,3373.86252820375,168.130687358981,79.6597468732024,46.790271714507,121.654706457718,0,0,47.0087333328389,30.497785095699,1,68.8596396674273,1.2,1.2,-129.180007539093,5.46062383317864,0.20188237392267,303.803960692949,-31.9306119961129,0,2832.83027171451,
64.3366094714906,31.4214745864646,472.008000000017,10.5632087078383,-6.44096289195179,1,4,3359.41253909468,168.202937304527,79.3526555789787,46.3903318658333,120.614862851167,0,0,46.973822677343,30.2353832326614,1,68.5571413225227,1.2,1.2,-128.787005296494,5.48310691177265,0.196690231346874,303.657243490046,-32.0965536012776,0,2832.43033186583,
64.0590507340408,31.4334970382505,472.221000000017,10.5639430724459,-6.43202193711903,1,4,3344.91947969065,168.275402601547,79.0443544181223,45.990924207752,119.576402940155,0,0,46.936700080271,29.9729813696238,1,68.2534022384283,1.2,1.2,-128.390684039924,5.50564689712275,0.196331146782403,303.511650158376,-32.263518062245,0,2832.03092420775,
63.780667508991,31.445572351016,472.434000000017,10.5648174166925,-6.42280873807266,1,4,3330.38336868654,168.348083156567,78.7348411590828,45.592064647483,118.539368083456,0,0,46.8972380412051,29.7105795065861,1,67.9484057269102,1.2,1.2,-127.990985422006,5.52843351339178,0.197610523391027,303.367197535723,-32.4315061625917,0,2831.63206464748,
63.5014607813486,31.4577011493211,472.647000000017,10.5658394186876,-6.41330727988396,1,4,3315.80425751567,168.420978712422,78.42411426212,45.1937700214729,117.503802055829,0,0,46.8553000255825,29.4481776435485,1,67.6421347292717,1.2,1.2,-127.587849534939,5.55153637594136,0.199469563917093,303.223902760301,-32.6005185798599,0,2831.23377002147,
63.2214322236699,31.4698840676874,472.860000000017,10.5670172674552,-6.4035003954784,1,4,3301.18223351257,168.494088832437,78.1121729501829,44.7960581614858,116.469751219863,0,0,46.8107396918953,29.1857757805109,1,67.3345718047554,1.2,1.2,-127.181214854457,5.5749853448213,0.201558461205447,303.081783277981,-32.7705558805645,0,2830.83605816149,
62.9405842623924,31.4821217506567,473.073000000017,10.5683597031914,-6.39336966543459,1,4,3286.51742337654,168.567412883117,77.7990172866346,44.3989479663629,115.437264712544,0,0,46.7634000400575,28.9233739174733,1,67.0256991184748,1.2,1.2,-126.771018181039,5.5987973273053,0.203762834917132,302.940856849719,-32.9416185149685,0,2830.43894796636,
62.6589201505367,31.4944148528319,473.286000000017,10.5698760612322,-6.38289530737734,1,4,3271.80999696794,168.64095001516,77.4846482605539,44.002459480027,114.40639464807,0,0,46.7131124714465,28.6609720544356,1,66.7154984288512,1.2,1.2,-126.357194578423,5.62298523176123,0.206046561346915,302.801141559229,-33.1137068116149,0,2830.04245948003,
62.3764440474632,31.5067640388991,473.499000000017,10.5715763201317,-6.37205605368754,1,4,3257.0601714727,168.714699142637,77.1690678804277,43.6066139763824,113.377196338594,0,0,46.6596957497965,28.398570191398,1,66.4039510745316,1.2,1.2,-125.9396773094,5.64756097197365,0.208399604875809,302.662655820883,-33.2868209716021,0,2829.64661397638,
62.0931611064493,31.5191699836265,473.712000000017,10.5734711542949,-6.3608290160688,1,4,3242.26821597534,168.788658920123,76.8522792771509,43.2114340518372,112.349728534777,0,0,46.602954850565,28.1361683283604,1,66.091037960761,1.2,1.2,-125.518397768454,5.67253649180761,0.210820729775755,302.525418387866,-33.460961062589,0,2829.25143405184,
61.8090775709504,31.5316333718384,473.925000000017,10.5755719916696,-6.34918953529702,1,4,3227.43445648529,168.862827717574,76.5342868173645,42.8169437262692,111.3240536883,0,0,46.5426796845847,27.8737664653228,1,65.7767395451808,1.2,1.2,-125.093285411354,5.69792413063017,0.21331176365256,302.389448360584,-33.6361270125148,0,2828.85694372627,
61.5242008805171,31.5441548983585,474.138000000017,10.5778910770622,-6.33711101422874,1,4,3212.55928146753,168.937203592662,76.2150962282923,42.4231685533564,110.300238238727,0,0,46.4786436797008,27.6113646022851,1,65.4610358230234,1.2,1.2,-124.664267681334,5.72373677192313,0.215875713784193,302.254765195341,-33.8123186030204,0,2828.46316855336,
61.2385397874657,31.5567352679203,474.351000000018,10.5804415417196,-6.32456473185124,1,4,3197.64314793467,169.011784260327,75.8947147353886,42.0301357413174,109.278352927425,0,0,46.4106022016027,27.3489627392475,1,65.1439063116721,1.2,1.2,-124.23126993176,5.74998792177058,0.218516154880944,302.121388713284,-33.9895354625518,0,2828.07013574132,
60.9521044855457,31.5693751950389,474.564000000018,10.5832374799014,-6.31151963581185,1,4,3182.68658816545,169.086567059173,75.5731512142791,41.6378742852432,108.258473141632,0,0,46.3382907921462,27.0865608762099,1,64.8253300345518,1.2,1.2,-123.794215345001,5.7766917661033,0.221237038239632,301.989339109652,-34.1677770591315,0,2827.67787428524,
60.6649067520111,31.5820754038382,474.777000000018,10.5862940332652,-6.29794211045608,1,4,3167.69021712318,169.161548914384,75.250416358677,41.24641511236,107.240679292136,0,0,46.261423200003,26.8241590131723,1,64.505285504315,1.2,1.2,-123.353024847319,5.80386322525709,0.224042658965806,301.858636963303,-34.347042692777,0,2827.28641511236,
60.3769601046985,31.5948366278291,474.990000000018,10.5896274840023,-6.28379571692136,1,4,3152.65474065778,169.236726296711,74.9265228661863,40.8557912417517,106.225057228555,0,0,46.1796891743905,26.5617571501346,1,64.1837507052855,1.2,1.2,-122.907617019679,5.83151800863789,0.226937646858354,301.729303246572,-34.5273314875487,0,2826.89579124175,
60.0882799759347,31.6076596096295,475.203000000018,10.5932553577881,-6.26904090125736,1,4,3137.58096458654,169.312095177067,74.601485644169,40.4660379602803,105.211698696729,0,0,46.0927519877673,26.299355287097,1,63.8607030751192,1.2,1.2,-122.457908003901,5.8596726755236,0.229927006655036,301.601359335432,-34.7086423832054,0,2826.50603796028,
59.7988839053577,31.6205451006199,475.416000000018,10.5971965377696,-6.25363466585814,1,4,3122.46980476249,169.387650976188,74.2753220381618,40.0771930166988,104.200701843417,0,0,46.0002456475702,26.0369534240594,1,63.5361194856379,1.2,1.2,-122.003811404249,5.88834470061311,0.233016145708381,301.474827020004,-34.8909741264454,0,2826.1171930167,
59.5087917540372,31.6334938605253,475.629000000018,10.6014713909839,-6.23753019866685,1,4,3107.322298255,169.463388508725,73.9480520856895,39.6892968362411,103.192171774227,0,0,45.901771750104,25.7745515610218,1,63.2099762227919,1.2,1.2,-121.54523818394,5.91755254551011,0.236210910353165,301.34972851541,-35.0743252617101,0,2825.72929683624,
59.2180259426356,31.6465066569115,475.842000000018,10.6061019088154,-6.22067645362296,1,4,3092.13961578561,169.539301921072,73.6196987987428,39.3023927583195,102.186221171631,0,0,45.7968959213085,25.5121496979842,1,62.8822489657009,1.2,1.2,-121.082096556241,5.94731573913256,0.239517645186769,301.22608647299,-35.2586941215249,0,2825.34239275832,
58.9266117167636,31.6595842645867,476.055000000018,10.6111118633383,-6.20301767462111,1,4,3076.9230755839,169.61538462208,73.2902884786832,38.9165273003663,101.182970980952,0,0,45.6851437789767,25.2497478349465,1,62.552912764722,1.2,1.2,-120.614291870085,5.97765496461605,0.242943231061168,301.103923991893,-35.4440788163501,0,2824.95652730037,
58.6345774431811,31.6727274648921,476.268000000018,10.6165269816843,-6.18449285379334,1,4,3061.67415885394,169.69162920573,72.9598510679225,38.5317504513382,100.182551173479,0,0,45.5659963386736,24.9873459719089,1,62.2219420184877,1.2,1.2,-120.141726489494,6.0085921569633,0.246495155777165,300.983264631061,-35.6304772239141,0,2824.57175045134,
58.3419549410678,31.6859370448684,476.481000000018,10.6223751409102,-6.16503511314368,1,4,3046.39452707204,169.76802736464,72.6284205434134,38.1481159989734,99.1851015973309,0,0,45.4388847705372,24.7249441088713,1,61.8893104498562,1.2,1.2,-119.664299666702,6.04015061137307,0.250181582129705,300.864132421628,-35.8178869779978,0,2824.18811599897,
58.0487798532857,31.6992137962786,476.694000000018,10.628686586251,-6.14457099637712,1,4,3031.08604137259,169.844569793137,72.2960353578098,37.7656818955726,98.1907729284888,0,0,45.3031843956509,24.4625422458337,1,61.5549910807081,1.2,1.2,-119.181907408469,6.07235510236178,0.254011414832584,300.746551879735,-36.0063054566386,0,2823.80568189557,
57.7550920633767,31.7125585144676,476.907000000018,10.6354941761217,-6.12301965506159,1,4,3015.75078432215,169.921246078389,71.9627389351344,37.3845106678962,97.1997277365302,0,0,45.1582077878369,24.200140382796,1,61.2189562055231,1.2,1.2,-118.694442334981,6.10523201914164,0.257994408387522,300.630548019791,-36.1957297697176,0,2823.4245106679,
57.4609361650311,31.7259719970347,477.120000000018,10.6428336578131,-6.10029190990549,1,4,3000.39108443325,169.998044577834,71.6285802289668,37.0046698777545,96.2121416821618,0,0,45.0031968183522,23.9377385197584,1,60.8811773636619,1.2,1.2,-118.201793531283,6.13880951446107,0.262141250030324,300.516146368195,-36.3861567458948,0,2823.04466987775,
57.1663619919567,31.739455042291,477.333000000018,10.6507439785227,-6.07628916373563,1,4,2985.0095438322,170.074952280839,71.2936143525837,36.6262326410637,95.2282048667657,0,0,44.837313445506,23.6753366567208,1,60.5416253102773,1.2,1.2,-117.703846390212,6.17311767329888,0.266463690049162,300.403372977538,-36.5775829188515,0,2822.66623264106,
56.8714252175299,31.7530084474713,477.546000000018,10.6592676372075,-6.05090213747877,1,4,2969.60906957053,170.151954652147,70.9579032921983,36.2492782145963,94.2481233579504,0,0,44.6596290065943,23.4129347936832,1,60.2002699857678,1.2,1.2,-117.200482446643,6.20818870273805,0.270974678747442,300.292254441308,-36.7700045127969,0,2822.2892782146,
56.5761880353779,31.7666330066613,477.759000000018,10.6684510837714,-6.0240093937548,1,4,2954.19290916238,170.229035454188,70.6215167165429,35.8738926614389,93.272120919741,0,0,44.4691117129966,23.1505329306455,1,59.8570804836863,1.2,1.2,-116.691579202377,6.24405714475069,0.275688513052348,300.182817909105,-36.9634174271953,0,2821.91389266144,
56.280719934211,31.7803295083985,477.972000000018,10.6783451733611,-5.99547560413862,1,4,2938.76469104339,170.306176544783,70.2845328986086,35.5001696083701,92.3004409817622,0,0,44.264611977056,22.8881310676079,1,59.5120250170056,1.2,1.2,-116.177009940789,6.28076011983106,0.280621040052215,300.075091102417,-37.1578172206622,0,2821.54016960837,
55.9850985829115,31.7940987328949,478.185000000018,10.6890056850959,-5.96514950513783,1,4,2923.32847078656,170.383357646067,69.9470397685295,35.1282111111027,91.333348888867,0,0,44.0448451063911,22.6257292045703,1,59.1650708826364,1.2,1.2,-115.65664353096,6.31833760142638,0.285789854882902,299.969102330943,-37.35319909398,0,2821.1682111111,
55.6894108452246,31.8079414488215,478.398000000018,10.7004939164829,-5.93286147363291,1,4,2907.8887840856,170.460556079572,69.6091361205469,34.7581286467487,90.3711344815467,0,0,43.808370780543,22.3633273415327,1,58.8161844240885,1.2,1.2,-115.130344220099,6.35683273136221,0.291214571011802,299.864880509519,-37.5495578721739,0,2820.79812864675,
55.3937539475853,31.8218584095834,478.611000000018,10.7128773671793,-5.89842063377816,1,4,2892.45070773438,170.537746461328,69.2709330019427,34.3900442571695,89.4141150686408,0,0,43.5535685665763,22.100925478495,1,58.4653309921511,1.2,1.2,-114.597971413784,6.39629218104561,0.296917119957928,299.762455175657,-37.7468879855911,0,2820.43004425717,
55.0982368289217,31.8358503490017,478.824000000018,10.7262305287991,-5.86161138253309,1,4,2877.01993010853,170.614900349457,68.9325553180828,34.0240918723399,88.4626388680838,0,0,43.2786085206727,21.8385236154574,1,58.1124749034661,1.2,1.2,-114.059379442944,6.43676656692046,0.302922107559644,299.661856507722,-37.9451834499148,0,2820.06409187234,
54.8029817080332,31.8499179762987,479.037000000018,10.7406358013239,-5.82218918775325,1,4,2861.60283300794,170.69198583496,68.5941436956957,33.6604188498627,87.517089009643,0,0,42.9814156422019,21.5761217524198,1,57.757579396852,1.2,1.2,-113.514417316506,6.47831093336658,0.309257260587773,299.563115343779,-38.1444378450461,0,2819.70041884986,
54.5081259128679,31.8640619702662,479.250000000018,10.7561845616301,-5.77987546773988,1,4,2846.20658717466,170.768967064127,68.2558566567887,33.2991877758431,86.5778882171921,0,0,42.6596265667492,21.3137198893822,1,57.4006065872289,1.2,1.2,-112.96292845906,6.52098531411372,0.315953945680549,299.466263201148,-38.3446442927769,0,2819.33918777584,
54.2138240273722,31.8782829724673,479.463000000018,10.7729784160727,-5.7343512993599,1,4,2830.83926439319,170.845803678034,67.9178731689786,32.9405785841971,85.6455043189126,0,0,42.3105363632269,21.0513180263445,1,57.0415174169809,1.2,1.2,-112.404750432031,6.56485539062543,0.323047813678794,299.371332296672,-38.5457954331737,0,2818.9805785842,
53.9202504265519,31.8925815792901,479.676000000018,10.7911306774876,-5.68524961587239,1,4,2815.50996986175,170.922450150691,67.5803956556316,32.5847910671694,84.7204567746404,0,0,41.9310325748473,20.7889161633069,1,56.6802716045802,1.2,1.2,-111.839714637169,6.60999327115121,0.330579604981998,299.278355567757,-38.7478833995841,0,2818.62479106717,
53.6276022903429,31.9069583326297,479.889000000018,10.8107681181607,-5.63214543411804,1,4,2800.22899956507,170.998855002175,67.2436535726913,32.23204787087,83.8033244642621,0,0,41.5175126189807,20.5265143002693,1,56.3168275902805,1.2,1.2,-111.267646001258,6.65647841531571,0.33859612101787,299.187366694207,-38.9508997921728,0,2818.27204787087,
53.3361032138989,31.921413708918,480.102000000018,10.8320330653548,-5.57454347616346,1,4,2785.00802878987,171.074959856051,66.9079076908307,31.8825980982133,82.8947550553545,0,0,41.0657791885576,20.2641124372317,1,55.9511424786757,1.2,1.2,-110.68836264015,6.7043987473479,0.347151491292418,299.098400120876,-39.154835649885,0,2817.92259809821,
53.0460075689993,31.9359481061492,480.315000000018,10.8550859265407,-5.51186229492404,1,4,2769.860339861,171.150698300695,66.5734552651602,31.5367216810378,81.9954763706983,0,0,40.5709061423628,20.001710574194,1,55.5831719778968,1.2,1.2,-110.10167550103,6.75385200387936,0.35630875030228,299.011491081198,-39.359681420727,0,2817.57672168104,
52.7576058231182,31.9505618284495,480.528000000018,10.8801082600135,-5.44341363129118,1,4,2754.80109988288,171.225994500586,66.2406363356038,31.1947347384442,81.1063103199549,0,0,40.0270641504306,19.7393087111564,1,55.2128703352054,1.2,1.2,-109.507387980655,6.80494738987287,0.366141917782874,298.926675621611,-39.5654269302451,0,2817.23473473844,
52.4712310964937,31.9652550676055,480.741000000018,10.9073065469505,-5.36837514591974,1,4,2739.84770312472,171.300761484376,65.9098414876842,30.8569962173252,80.2281901650456,0,0,39.4272904337689,19.4769068481188,1,54.8401902687186,1.2,1.2,-108.905295518011,6.85780763710625,0.376738722282028,298.843990626928,-39.7720613480741,0,2816.89699621733,
52.1872673448591,31.9800278807785,480.954000000018,10.936916879285,-5.28575375122037,1,4,2725.02019829153,171.374899008542,65.5815215293734,30.5239162262485,79.3621821882462,0,0,38.7631792019635,19.2145049850812,1,54.4650828949779,1.2,1.2,-108.29518515907,6.91257160546148,0.388204283666236,298.763473846689,-39.9795731524169,0,2816.56391622625,
51.9061597153371,31.9948801633614,481.167000000018,10.9692108640284,-5.19433528484945,1,4,2710.34182926946,171.448290853653,65.2561997271044,30.195966645929,78.5095132794155,0,0,38.0244568811696,18.9521031220435,1,54.0874976520486,1.2,1.2,-107.676835091417,6.96939763064203,0.400666187713608,298.68516392254,-40.1879500923011,0,2816.23596664593,
51.628427867606,32.0098116155417,481.380000000018,11.0045031757244,-5.09261378223152,1,4,2695.83973070632,171.520801346468,64.9344875307481,29.8736948636347,77.6716066454503,0,0,37.1983852914488,18.6897012590059,1,53.7073822178071,1.2,1.2,-107.050014146182,7.02846793269891,0.414281711619956,298.609100416688,-40.397179147452,0,2815.91369486363,
51.3546834386217,32.0248217005273,481.593000000018,11.0431613941021,-4.97868928261026,1,4,2681.5458399528,171.592270800236,64.617105169824,29.5577418969538,76.85012893208,0,0,36.2688995014326,18.4272993959683,1,53.3246824230446,1.2,1.2,-106.414481264635,7.08999457924758,0.429248426380445,298.535323841467,-40.6072464856001,0,2815.59774189695,
51.0856534613255,32.0399095914388,481.806000000018,11.0856190976403,-4.85011522377405,1,4,2667.49811989815,171.662509400509,64.3049092435615,29.248866858421,76.0470538318945,0,0,35.2153206954788,18.1648975329307,1,52.9393421589787,1.2,1.2,-105.769984925994,7.15422784109878,0.4458205252867,298.463875690074,-40.8181374170304,0,2815.28886685842,
50.8222126274708,32.0550741022865,482.019000000018,11.1323937492418,-4.70366130941659,1,4,2653.74224361198,171.73128878194,63.9989306915012,28.9479808869681,75.264750306117,0,0,34.0103565681516,17.9024956698931,1,52.5513032787265,1.2,1.2,-105.11626253359,7.22146842345396,0.464335275238662,298.394798468526,-41.0298363461626,0,2814.98798088697,
50.5654292248484,32.0703135956687,482.232000000018,11.1841119183927,-4.53492651241227,1,4,2640.33399301116,171.798330034944,63.7004288020277,28.6561957869352,74.5061090460316,0,0,32.6168387502348,17.6400938068554,1,52.1605054922504,1.2,1.2,-104.45303975509,7.29208647116931,0.485259219471442,298.328135728881,-41.2423267199297,0,2814.69619578694,
50.3166332875798,32.0856258545766,482.445000000018,11.24154629593,-4.33766709513699,1,4,2627.34281740831,171.863285912958,63.4109712551451,28.3748966650373,73.7747313290969,0,0,30.9820589746694,17.3776919438178,1,51.7668862542414,1.2,1.2,-103.780029813139,7.36655365609583,0.50927726711169,298.263932103781,-41.455590972705,0,2814.41489666504,
50.0775231537575,32.1010078948454,482.658000000018,11.3056728725892,-4.10253113730058,1,4,2614.85739754572,171.925713012271,63.1325591507258,28.1058562297451,73.0752261973372,0,0,29.0271053314085,17.1152900807802,1,51.3703806443495,1.2,1.2,-103.096932721556,7.4455046527565,0.537492354220216,298.202233342381,-41.6696104675019,0,2814.14585622974,
49.8503440767896,32.1164556693778,482.871000000018,11.3777655053588,-3.8143945926143,1,4,2602.99497199897,171.985025140005,62.8678363826298,27.8514275358348,72.4137115931706,0,0,26.6244189738796,16.8528882177426,1,50.9709212391131,1.2,1.2,-102.403434462026,7.52988394282188,0.572003337714024,298.143086347703,-41.8843654331454,0,2813.89142753583,
49.6382180092694,32.1319635439688,483.084000000018,11.4595679741623,-3.44575198963797,1,4,2591.91855723372,172.040407213831,62.620475885155,27.6149018369189,71.7987447759891,0,0,23.5421238740353,16.5904863547049,1,50.5684379748751,1.2,1.2,-101.699206095849,7.62154909324296,0.618985667493919,298.086539215493,-42.099834897087,0,2813.65490183692,
49.4458473662526,32.1475231550006,483.297000000018,11.5536553242226,-2.93512363583375,1,4,2581.87369544176,172.090631522791,62.3960032452604,27.4012760116991,71.2433176304177,0,0,19.2621891855152,16.3280844916673,1,50.1628580008956,1.2,1.2,-100.983902804107,7.73432257805294,0.75899144838124,298.032641274621,-42.3159966135012,0,2813.4412760117,
49.2814375906786,32.1631192488024,483.510000000018,11.6644039529471,-2.0532271355616,1,4,2573.28884357981,172.133555782101,62.2040451653659,27.2193578872164,70.7703305067625,0,0,11.8536792966668,16.0656826286297,1,49.7541055217924,1.2,1.2,-100.257162849836,7.84023307727405,0.711134575360988,297.981443129104,-42.5328269862678,0,2813.25935788722,
49.1661572278692,32.1787268269673,483.723000000018,11.8026702516966,-0.643872151539482,1,4,2567.26934240443,172.163653287978,62.0693868362548,27.0921624347758,70.439622330417,0,0,0,15.8032807655921,1,49.3421016283462,1.2,1.2,-99.5155420207718,7.92631531696486,0.577572699963373,297.932996701794,-42.7503009864036,0,2813.13216243478,
49.1299798021092,32.1943344051322,483.936000000019,11.886305523427,0,1,4,2565.38029511504,172.173098524425,62.0271177032216,27.0523072110655,70.3359987487703,0,5.39530994348262,0,15.669,1,49.1299798021092,1.2,1.2,-98.7644944729849,7.98632908274372,0.402665089341976,297.887365339079,-42.9684021768574,0,2813.09230721107,
49.0938023763492,32.2099419832971,484.149000000019,11.8688067329217,-0.643872151539482,1,4,2563.49124782566,172.182543760872,61.9848435588906,27.0124813244063,70.2324514434564,100,97.9278918435062,0,15.669,1,49.1299798021092,1.2,1.2,-98.013527059914,8.00481328943328,0.124020624959541,297.844591824641,-43.1871078942003,0,2813.05248132441,
49.0756580324274,32.2255610627507,484.362000000019,11.8600352829432,-0.32268838562302,1,4,2562.54381933999,172.1872809033,61.9636395936397,26.9925181862356,70.1805472842125,97.0132207125309,97.9294801664008,0,15.669,1,49.1299798021092,1.2,1.2,-97.2626345972447,8.00774434705931,0.0196515830366081,297.804684145952,-43.4063790626767,0,2813.03251818624,
49.0615782346505,32.2411859169197,484.575000000019,11.8532309750298,-0.250309852221924,1,4,2561.80862596272,172.190956870186,61.9471846970412,26.9770321104595,70.1402834871948,96.3412037628955,97.9307122360463,0,15.669,1,49.1299798021092,1.2,1.2,-96.5118118932144,8.00665628191884,-0.00729235062505031,297.767649756224,-43.626176501117,0,2813.01703211046,
49.0501979241246,32.256815255143,484.788000000019,11.8477326682423,-0.202260474700342,1,4,2561.21438952108,172.193928052395,61.9338841052277,26.9645183917045,70.1077478184317,95.8953034175135,97.9317077962861,0,15.669,1,49.1299798021092,1.2,1.2,-95.7610537490414,8.00459476968507,-0.0138125525988969,297.733495573017,-43.8464609302418,0,2813.0045183917,
49.040801661293,32.2724482195846,485.001000000019,11.8431938997181,-0.166959569219181,1,4,2560.72375248819,172.196381237559,61.9229019699396,26.9541885074326,70.0808901193247,95.5678268932667,97.9325295964552,0,15.669,1,49.1299798021092,1.2,1.2,-95.0103549595157,8.00247623763696,-0.0141913044144855,297.702227976949,-44.067192979985,0,2812.99418850743,
49.0329391270677,32.2880841793165,485.214000000019,11.8393966513199,-0.139680411195573,1,4,2560.3132009176,172.198433995412,61.9137121614864,26.9455462653145,70.0584202898176,95.3148349650269,97.9332171215811,0,15.669,1,49.1299798021092,1.2,1.2,-94.259710313536,8.0005502856878,-0.0128988063378139,297.673852810507,-44.2883331968325,0,2812.98554626531,
49.0262989541833,32.3037226463073,485.427000000019,11.8361902223829,-0.11794586189292,1,4,2559.9664763974,172.200167618013,61.9059508768019,26.9382486823537,70.0394465741197,95.1133083525189,97.9337976639733,0,15.669,1,49.1299798021092,1.2,1.2,-93.5091145945443,7.99886320642155,-0.0112971768737373,297.648375376958,-44.5098420511784,0,2812.97824868235,
49.0206530958987,32.3193632313883,485.640000000019,11.8334642729946,-0.100270799322487,1,4,2559.67167119596,172.20164164402,61.8993516517532,26.9320446334885,70.0233160470701,94.9494507728512,97.9342912058036,0,15.669,1,49.1299798021092,1.2,1.2,-92.7585625811883,7.99740404901408,-0.0097696221464965,297.625800439362,-44.7316799446932,0,2812.97204463349,
49.0158279263392,32.3350056178433,485.853000000019,11.8311348196786,-0.085685447132983,1,4,2559.41971923184,172.202901403841,61.8937116012382,26.9267429788563,70.0095317450265,94.8142560661377,97.9347129556738,0,15.669,1,49.1299798021092,1.2,1.2,-92.0080490477274,7.99614937024394,-0.00839959132457486,297.606132219681,-44.9538072177066,0,2812.96674297886,
49.0116875353677,32.3506495441512,486.066000000019,11.829136140601,-0.0735178995708373,1,4,2559.20352379567,172.203982381022,61.8888719045496,26.922194140673,69.9977047657497,94.7014861043135,97.9350748148018,0,15.669,1,49.1299798021092,1.2,1.2,-91.2575687646272,7.99507600943586,-0.00718503007269873,297.589374397992,-45.176184156601,0,2812.96219414067,
49.0081233120871,32.3662947920208,486.279000000019,11.8274157285318,-0.0632819646353857,1,4,2559.01741364036,172.204912931798,61.8847056368229,26.9182786165656,69.9875244030705,94.6066281363721,97.9353862911657,0,15.669,1,49.1299798021092,1.2,1.2,-90.5071164990314,7.99416406420654,-0.00610400563113132,297.575530111805,-45.3987710012147,0,2812.95827861657,
49.0050470700563,32.3819411777254,486.492000000019,11.8259309603339,-0.0546139978501281,1,4,2558.85678400606,172.20571607997,61.8811097377245,26.9148993995877,69.978738438928,94.5263076750885,97.9356551027338,0,15.669,1,49.1299798021092,1.2,1.2,-89.7566870153871,7.99339705443165,-0.00513352267526661,297.564601955473,-45.6215279522545,0,2812.95489939959,
49.002386304936,32.397588545616,486.705000000019,11.8246467999357,-0.0472348721817211,1,4,2558.71784899251,172.206410755037,61.8779994711392,26.911976750365,69.971139550949,94.4579350817131,97.935887593497,0,15.669,1,49.1299798021092,1.2,1.2,-89.0062750757468,7.99276142085614,-0.00425396736619349,297.556591979711,-45.8444151787151,0,2812.95197675036,
49.000080805343,32.4132367631381,486.918000000019,11.8235341570983,-0.0409258468396393,1,4,2558.59746459076,172.207012677046,61.8753044656253,26.9094444617749,69.9645556006148,94.3994813547283,97.9360890307198,0,15.669,1,49.1299798021092,1.2,1.2,-88.25587544057,7.99224596052028,-0.00344952260980886,297.551501691215,-46.0673928253049,0,2812.94944446177,
48.9980801597613,32.4288857169234,487.131000000019,11.8225686803856,-0.0355125902609744,1,4,2558.49299850359,172.207535007482,61.8729658016258,26.9072471118428,69.9588424907913,94.3493297093097,97.9362638235442,0,15.669,1,49.1299798021092,1.2,1.2,-87.5054828689891,7.99184135439098,-0.00270754552422537,297.549332052378,-46.2904210198755,0,2812.94724711184,
48.996341878068,32.4445353096727,487.344000000019,11.8217298479212,-0.0308542230872413,1,4,2558.40223205872,172.207988839706,61.8709338166768,26.905337994373,69.9538787853698,94.3061738094382,97.9364156876574,0,15.669,1,49.1299798021092,1.2,1.2,-86.7550921195045,7.99153979366194,-0.00201790335407844,297.550083481112,-46.5134598808552,0,2812.94533799437,
48.994829947316,32.460185457635,487.557000000019,11.8210002685101,-0.0268355778785175,1,4,2558.3232847973,172.208383576013,61.8691664179305,26.9036775283581,69.9495615737312,94.2689458899995,97.9365477718586,0,15.669,1,49.1299798021092,1.2,1.2,-86.0046979504257,7.99133469200557,-0.00137239566557759,297.553755850771,-46.7364695246838,0,2812.94367752836,
48.9935137022138,32.4758360885449,487.770000000019,11.8203651351819,-0.0233615910818085,1,4,2558.2545554947,172.208727222527,61.8676277623304,26.9022320142847,69.9458032371402,94.2367646889045,97.9366627570185,0,15.669,1,49.1299798021092,1.2,1.2,-85.254295120374,7.99122046204797,-0.000764322745642,297.560348490173,-46.959410073248,0,2812.94223201428,
48.9923669287019,32.49148713992,487.983000000019,11.8198117916075,-0.0203531500939712,1,4,2558.19467535263,172.209026623237,61.8662872091152,26.9009726473318,69.9425288830628,94.2088968959512,97.9367629345974,0,15.669,1,49.1299798021092,1.2,1.2,-84.5038783888403,7.99119234003219,-0.000188161838781169,297.569860183727,-47.1822416613154,0,2812.94097264733,
48.9913671435055,32.5071385576422,488.196000000019,11.8193293837135,-0.0177439587288504,1,4,2558.14247038017,172.209287648099,61.8651184779253,26.8998747244723,69.939674283628,94.184728060468,97.9368502697319,0,15.669,1,49.1299798021092,1.2,1.2,-83.7534425167068,7.99124624637079,0.00036067394516273,297.582289171657,-47.4049244439667,0,2812.93987472447,
