speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
70.1410912038965,0.120781929189998,2.343,6.33077212850359,4.20609421630579,1,4,3662.50045241456,166.687497737927,85.7324559365071,55.1386559477971,143.360505464273,50.8834347844636,95.6309178694162,0,59.963,1,76.6045952651335,1.2,1.2,2.067093096916,3.14994888873491,0.0770230530596863,2.38290760062818,-0.0522681103684873,0,2841.1786559478,
70.3061926103615,0.131714179983915,2.556,6.36061054441038,4.1950649194184,1,4,3671.12141860562,166.644392906972,85.9120347199056,55.3985373833182,144.036197196627,50.9534439458894,95.609189910354,0,59.963,1,76.6045952651335,1.2,1.2,2.27397476050117,3.15790485271615,0.0762099786733644,2.59942907564682,-0.0531538907787752,0,2841.43853738332,
70.4704721089709,0.142620758359587,2.769,6.39037004823403,4.1840064304635,1,4,3679.69946790101,166.601502660495,86.0906159320574,55.6577315241278,144.710101962732,51.0238950419545,95.5875108793662,0,59.963,1,76.6045952651335,1.2,1.2,2.48088782655469,3.16580317638301,0.0758359305512421,2.81591946798701,-0.0532578429089376,0,2841.69773152413,
70.633934323275,0.153501911515682,2.982,6.42005043797679,4.17291899017059,1,4,3688.23484172491,166.558825791375,86.2682061456455,55.9162366109014,145.382215188344,51.0947856250832,95.5658810054182,0,59.963,1,76.6045952651335,1.2,1.2,2.68783231012996,3.17365942005454,0.0756081549116322,3.03237595364698,-0.0525800841401484,0,2841.9562366109,
70.7965838148126,0.164357883327906,3.195,6.44965151329918,4.16180283971583,1,4,3696.72777826348,166.516361108683,86.444811846763,56.174050898757,146.052532336768,51.16611324311,95.5443005159924,0,59.963,1,76.6045952651335,1.2,1.2,2.89480822588263,3.1814788931094,0.0754288347126807,3.24879570906739,-0.0511207420539799,0,2842.21405089876,
70.9584250843731,0.175188914412764,3.408,6.47917307552439,4.15065822072097,1,4,3705.17851253081,166.474107437346,86.620439436619,56.4311726572939,146.721048908964,51.23787543921,95.5227696370857,0,59.963,1,76.6045952651335,1.2,1.2,3.10181558807253,3.1892634861154,0.0752652879405076,3.46517591116819,-0.0488799544307379,0,2842.47117265729,
71.1194625732279,0.185995242189744,3.621,6.50861492764257,4.13948537525235,1,4,3713.58727643316,166.432063617834,86.7950952332019,56.6876001706301,147.387760443638,51.3100697518306,95.5012885932068,0,59.963,1,76.6045952651335,1.2,1.2,3.3088544105552,3.19701394838733,0.0751065975354088,3.68151373738547,-0.0458578692476642,0,2842.72760017063,
71.2797006643314,0.196777100941988,3.834,6.53797687431515,4.12828454581986,1,4,3721.95429883169,166.390228505842,86.9687854729031,56.9433317374397,148.052662517343,51.3826937146261,95.4798576073733,0,59.963,1,76.6045952651335,1.2,1.2,3.51592470677147,3.20473064687236,0.0749491153847895,3.89780636570825,-0.0420546446770053,0,2842.98333173744,
71.4391436834937,0.207534721875484,4.047,6.56725872187908,4.11705597537584,1,4,3730.27980560373,166.348600971981,87.1415163121007,57.1983656709901,148.715750744574,51.4557448563943,95.4584769011091,0,59.963,1,76.6045952651335,1.2,1.2,3.72302648977595,3.21241381965398,0.0747916269969841,4.11405097471534,-0.0374704490839486,0,2843.23836567099,
71.5977959005241,0.218268333176836,4.26,6.59646027835106,4.10579990731415,1,4,3738.56401970245,166.307179901488,87.3132938287052,57.4527002991786,149.377020777864,51.529220701015,95.4371466944419,0,59.963,1,76.6045952651335,1.2,1.2,3.93015977220203,3.22006365998821,0.0746337261537208,4.33024474361216,-0.0321054610244255,0,2843.49270029918,
71.7556615303483,0.228978160069627,4.473,6.62558135343171,4.09451658546906,1,4,3746.80716121518,166.265964193924,87.4841240236683,57.7063339645687,150.036468307879,51.6031187673905,95.4158672059,0,59.963,1,76.6045952651335,1.2,1.2,4.13732456628676,3.22768034465646,0.0744752796909285,4.54638485226751,-0.0259598692427813,0,2843.74633396457,
71.9127447340978,0.239664424869453,4.686,6.65462175850972,4.08320625411433,1,4,3755.00944742039,166.224952762898,87.6540128224551,57.9592650244265,150.694089063509,51.6774365693882,95.3946386525099,0,59.963,1,76.6045952651335,1.2,1.2,4.34452088386233,3.23526404336735,0.0743162448977572,4.76246848125041,-0.0190338726693123,0,2843.99926502443,
72.0690496201752,0.250327347037634,4.899,6.68358130666595,4.07186915796212,1,4,3763.17109284316,166.184144535784,87.8229660764822,58.2114918507564,151.349878811967,51.752171615785,95.3734612497931,0,59.963,1,76.6045952651335,1.2,1.2,4.55174873634748,3.2428149218301,0.0741566083935753,4.97849281186685,-0.0113276804176702,0,2844.25149185076,
72.2245802452924,0.260967143233661,5.112,6.71245981267754,4.06050554216204,1,4,3771.29230930956,166.143538453452,87.9909895645214,58.4630128303364,152.003833358875,51.8273214102134,95.3523352117637,0,59.963,1,76.6045952651335,1.2,1.2,4.75900813475655,3.25033314295563,0.0739963680408729,5.19445502619662,-0.0028415117821334,0,2844.50301283034,
72.3793406154863,0.2715840273664,5.325,6.7412570930219,4.04911565230016,1,4,3779.37330599955,166.103133470002,88.1580889940704,58.7138263647537,152.65594854836,51.9028834511094,95.3312607509255,0,59.963,1,76.6045952651335,1.2,1.2,4.96629908969096,3.2578188672047,0.073835524665761,5.41035230713004,0.00642440376525488,0,2844.75382636475,
72.5333346871099,0.282178210644107,5.538,6.76997296588079,4.03769973439802,1,4,3787.41428949881,166.062928552506,88.3242700026916,58.9639308704392,153.306220263142,51.9788552316627,95.3102380782685,0,59.963,1,76.6045952651335,1.2,1.2,5.17362161134119,3.26527225272333,0.0736740799987672,5.62618183840473,0.0164698265776805,0,2845.00393087044,
72.6865663678007,0.292749901623265,5.751,6.79860725114424,4.02625803491162,1,4,3795.41546384928,166.022922680754,88.4895381593202,59.2133247787026,153.954644424627,52.0552342397674,95.289267403267,0,59.963,1,76.6045952651335,1.2,1.2,5.38097570949057,3.27269345549954,0.0735120369058586,5.84194080464237,0.0272945068366859,0,2845.2533247787,
72.8390395174267,0.303299306256302,5.964,6.82715977041456,4.01479080073051,1,4,3803.37703059855,165.983114847007,88.6538989655414,59.4620065357667,154.601216992993,52.1320179579755,95.2683489338761,0,59.963,1,76.6045952651335,1.2,1.2,5.58836139350668,3.28008262932334,0.0733493974571759,6.05762639138543,0.0388981845554294,0,2845.50200653577,
72.9907579490112,0.313826627938194,6.177,6.85563034701021,4.00329827917678,1,4,3811.29918884816,165.943504055759,88.817357856839,59.7099746028015,155.245933967284,52.2092038634514,95.2474828765288,0,59.963,1,76.6045952651335,1.2,1.2,5.79577867234698,3.2874399258928,0.0731861643804273,6.27323578513388,0.0512805895820784,0,2845.7499746028,
73.1417254296357,0.32433206755201,6.39,6.88401880596972,3.99178071800409,1,4,3819.18213530076,165.904089323496,88.9799202038148,59.9572274559581,155.888791385491,52.2867894279279,95.2266694361334,0,59.963,1,76.6045952651335,1.2,1.2,6.00322755455366,3.29476549487635,0.0730223406415617,6.48876617338195,0.064441441603334,0,2845.99722745596,
73.2919456813234,0.33481582351341,6.603,6.91232497405557,3.98023836539677,1,4,3827.0260643062,165.864869678469,89.141591313381,60.2037635864025,156.529785324646,52.3647721176638,95.2059088160702,0,59.963,1,76.6045952651335,1.2,1.2,6.21070804825224,3.30205948383823,0.0728579280885508,6.70421474465477,0.078380450148089,0,2846.2437635864,
73.4414223819018,0.345278091814132,6.816,6.94054867975801,3.96867146996884,1,4,3834.83116790664,165.825844160467,89.302376429925,60.4495815003488,157.168911900907,52.4431493934034,95.1852012181889,0,59.963,1,76.6045952651335,1.2,1.2,6.41822016116055,3.30932203846261,0.072692930438025,6.91957868854509,0.0930973145912181,0,2846.48958150035,
73.590159165847,0.355719066064503,7.029,6.96868975329886,3.95708028076306,1,4,3842.59763588054,165.787011820597,89.4622807364486,60.6946797190929,157.806167269641,52.5219187103364,95.1645468428053,0,59.963,1,76.6045952651335,1.2,1.2,6.62576390057145,3.31655330234531,0.0725273489660722,7.13485519574995,0.108591724157501,0,2846.73467971909,
73.7381596251079,0.366138937534979,7.242,6.99674802663533,3.94546504725002,1,4,3850.32565578581,165.748371721071,89.6213093556811,60.9390567790447,158.441547625516,52.6010775180601,95.1439458886986,0,59.963,1,76.6045952651335,1.2,1.2,6.83333927336708,3.32375341728465,0.0723611875077015,7.35004145810734,0.124863357925676,0,2846.97905677904,
73.8854273099138,0.376537895196771,7.455,7.02472333346375,3.9338260193272,1,4,3858.01541300187,165.709922934991,89.7794673511686,61.1827112317617,159.075049202581,52.6806232605428,95.1233985531082,0,59.963,1,76.6045952651335,1.2,1.2,7.04094628600162,3.33092252315944,0.0721944483332688,7.56513466863283,0.141911884832632,0,2847.22271123176,
74.0319657295623,0.386916125761557,7.668,7.05261550922334,3.92216344731803,1,4,3865.66709077088,165.671664546146,89.9367597283381,61.425641643981,159.706668274351,52.7605533760879,95.1029050317309,0,59.963,1,76.6045952651335,1.2,1.2,7.24858494451555,3.33806075800443,0.0720271341331481,7.78013202155621,0.159736963677723,0,2847.46564164398,
74.1777783531918,0.397273813720311,7.881,7.08042439109989,3.91047758197102,1,4,3873.28087023802,165.63359564881,90.0931914355389,61.6678465976517,160.336401153894,52.8408652973,95.0824655187178,0,59.963,1,76.6045952651335,1.2,1.2,7.45625525453591,3.34516825807745,0.0718592479444786,7.99503071235809,0.178338243127224,0,2847.70784659765,
